Dates;Andorre;Émirats arabes Unis;Afghanistan;Antigua-et-Barbuda;Anguilla;Albanie;Arménie;Angola;Argentine;Autriche;Australie;Aruba;Azerbaïdjan;Bosnie-Herzégovine;Barbade;Bangladesh;Belgique;Burkina Faso;Bulgarie;Bahreïn;Burundi;Bénin;Bermudes;Brunei;Bolivie;Bonaire;Brésil;Bahamas;Bhoutan;Botswana;Biélorussie;Belize;Canada;République démocratique du Congo;République centrafricaine;Congo;Suisse;Côte d’Ivoire;Chili;Cameroun;Chine;Colombie;Costa Rica;Cuba;Cap Vert;Curaçao;Chypre;République tchèque;Allemagne;Djibouti;Danemark;Dominique;République dominicaine;Algérie;Équateur;Estonie;Égypte;Sahara occidental;Grèce;Erythrée;Espagne;Éthiopie;Finlande;Fidji;Îles Malouines;Îles Féroé;France;Gabon;Grenade;Géorgie;Guernesey;Ghana;Gibraltar;Groeland;Gambie;Guinée;Guinée équatoriale;Guatemala;Guam;Guinée Bissau;Guyana;Honduras;Croatie;Haïti;Hongrie;Indonésie;Irlande;Israël;Île de Man;Inde;Irak;Iran;Islande;Italie;Jersey;Jamaïque;Jordanie;Japon;Kenya;Kirghizistan;Cambodge;Comores;Saint-Kitts-et-Nevis;Corée du Sud;Koweït;Îles Caïmans;Kazakhstan;Laos;Liban;Sainte Lucie;Liechtenstein;Sri Lanka;Liberia;Lesotho;Lituanie;Luxembourg;Lettonie;Libye;Maroc;Monaco;Moldavie;Monténégro;Madagascar;Macédoine du Nord;Mali;Birmanie;Mongolie;Îles Mariannes du Nord;Mauritanie;Montserrat;Malte;Maurice;Maldives;Malawi;Mexique;Malaisie;Mozambique;Namibie;Nouvelle Calédonie;Niger;Nigeria;Nicaragua;Pays-Bas;Norvège;Népal;Nouvelle-Zélande;Oman;Panama;Perou;Polynésie française;Papouasie-Nouvelle-Guinée;Philippines;Pakistan;Pologne;Porto Rico;Palestine;Portugal;Paraguay;Qatar;Roumanie;Serbie;Russie;Rwanda;Arabie saoudite;Seychelles;Soudan;Suède;Singapour;Slovénie;Slovaquie;Sierra Leone;Saint-Marin;Sénégal;Somalie;Suriname;Soudan-du-Sud;Sao-Tomé-et-Principe;Salvador;Saint-Martin;Syrie;Eswatini;Îles Turques-et-Caïques;Tchad;Togo;Thaïlande;Tadjikistan;Timor oriental;Tunisie;Turquie;Trinidad et Tobago;Taïwan;Tanzanie;Ukraine;Ouganda;Royaume-Uni;États-Unis;Uruguay;Ouzbékistan;Vatican;Saint-Vincent-et-les-Grenadines;Venezuela;Îles Vierges britanniques;Îles Vierges américaines;Vietnam;Kosovo;Yémen;Afrique du Sud;Zambie;Zimbabwe
12/31/19;;0;0;;;;0;;;0;0;;0;;;;0;;;;;;;;;;0;;;;0;;0;;;;0;;;;0;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;;;;;;;0;;;;0;0;;;;;;;;0;;;;;
1/1/20;;0;0;;;;0;;;0;0;;0;;;;0;;;;;;;;;;0;;;;0;;0;;;;0;;;;0;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
1/2/20;;0;0;;;;0;;;0;0;;0;;;;0;;;;;;;;;;0;;;;0;;0;;;;0;;;;0;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
1/3/20;;0;0;;;;0;;;0;0;;0;;;;0;;;;;;;;;;0;;;;0;;0;;;;0;;;;0;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
1/4/20;;0;0;;;;0;;;0;0;;0;;;;0;;;;;;;;;;0;;;;0;;0;;;;0;;;;0;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
1/5/20;;0;0;;;;0;;;0;0;;0;;;;0;;;;;;;;;;0;;;;0;;0;;;;0;;;;0;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
1/6/20;;0;0;;;;0;;;0;0;;0;;;;0;;;0;;;;;;;0;;;;0;;0;;;;0;;;;0;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
1/7/20;;0;0;;;;0;;;0;0;;0;;;;0;;;0;;;;;;;0;;;;0;;0;;;;0;;;;0;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
1/8/20;;0;0;;;;0;;;0;0;;0;;;;0;;;0;;;;;;;0;;;;0;;0;;;;0;;;;0;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
1/9/20;;0;0;;;;0;;;0;0;;0;;;;0;;;0;;;;;;;0;;;;0;;0;;;;0;;;;0;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
1/10/20;;0;0;;;;0;;;0;0;;0;;;;0;;;0;;;;;;;0;;;;0;;0;;;;0;;;;0;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
1/11/20;;0;0;;;;0;;;0;0;;0;;;;0;;;0;;;;;;;0;;;;0;;0;;;;0;;;;1;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
1/12/20;;0;0;;;;0;;;0;0;;0;;;;0;;;0;;;;;;;0;;;;0;;0;;;;0;;;;0;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
1/13/20;;0;0;;;;0;;;0;0;;0;;;;0;;;0;;;;;;;0;;;;0;;0;;;;0;;;;0;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
1/14/20;;0;0;;;;0;;;0;0;;0;;;;0;;;0;;;;;;;0;;;;0;;0;;;;0;;;;0;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
1/15/20;;0;0;;;;0;;;0;0;;0;;;;0;;;0;;;;;;;0;;;;0;;0;;;;0;;;;1;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
1/16/20;;0;0;;;;0;;;0;0;;0;;;;0;;;0;;;;;;;0;;;;0;;0;;;;0;;;;0;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
1/17/20;;0;0;;;;0;;;0;0;;0;;;;0;;;0;;;;;;;0;;;;0;;0;;;;0;;;;0;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
1/18/20;;0;0;;;;0;;;0;0;;0;;;;0;;;0;;;;;;;0;;;;0;;0;;;;0;;;;0;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
1/19/20;;0;0;;;;0;;;0;0;;0;;;;0;;;0;;;;;;;0;;;;0;;0;;;;0;;;;1;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
1/20/20;;0;0;;;;0;;;0;0;;0;;;;0;;;0;;;;;;;0;;;;0;;0;;;;0;;;;0;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
1/21/20;;0;0;;;;0;;;0;0;;0;;;;0;;;0;;;;;;;0;;;;0;;0;;;;0;;;;3;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
1/22/20;;0;0;;;;0;;;0;0;;0;;;;0;;;0;;;;;;;0;;;;0;;0;;;;0;;;;11;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
1/23/20;;0;0;;;;0;;;0;0;;0;;;;0;;;0;;;;;;;0;;;;0;;0;;;;0;;;;0;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
1/24/20;;0;0;;;;0;;;0;0;;0;;;;0;;;0;;;;;;;0;;;;0;;0;;;;0;;;;9;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
1/25/20;;0;0;;;;0;;;0;0;;0;;;;0;;;0;;;;;;;0;;;;0;;0;;;;0;;;;15;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
1/26/20;;0;0;;;;0;;;0;0;;0;;;;0;;;0;;;;;;;0;;;;0;;0;;;;0;;;;15;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
1/27/20;;0;0;;;;0;;;0;0;;0;;;;0;;;0;;;;;;;0;;;;0;;0;;;;0;;;;25;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
1/28/20;;0;0;;;;0;;;0;0;;0;;;;0;;;0;;;;;;;0;;;;0;;0;;;;0;;;;25;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
1/29/20;;0;0;;;;0;;;0;0;;0;;;;0;;;0;;;;;;;0;;;;0;;0;;;;0;;;;26;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
1/30/20;;0;0;;;;0;;;0;0;;0;;;;0;;;0;;;;;;;0;;;;0;;0;;;;0;;;;38;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
1/31/20;;0;0;;;;0;;;0;0;;0;;;;0;;;0;;;;;;;0;;;;0;;0;;;;0;;;;43;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
2/1/20;;0;0;;;;0;;;0;0;;0;;;;0;;;0;;;;;;;0;;;;0;;0;;;;0;;;;46;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
2/2/20;;0;0;;;;0;;;0;0;;0;;;;0;;;0;;;;;;;0;;;;0;;0;;;;0;;;;45;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;1;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
2/3/20;;0;0;;;;0;;;0;0;;0;;;;0;;;0;;;;;;;0;;;;0;;0;;;;0;;;;57;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
2/4/20;;0;0;;;;0;;;0;0;;0;;;;0;;;0;;;;;;;0;;;;0;;0;;;;0;;;;65;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
2/5/20;;0;0;;;;0;;;0;0;;0;;;;0;;;0;;;;;;;0;;;;0;;0;;;;0;;;;66;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
2/6/20;;0;0;;;;0;;;0;0;;0;;;;0;;;0;;;;;;;0;;;;0;;0;;;;0;;;;72;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
2/7/20;;0;0;;;;0;;;0;0;;0;;;;0;;;0;;;;;;;0;;;;0;;0;;;;0;;;;73;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
2/8/20;;0;0;;;;0;;;0;0;;0;;;;0;;;0;;;;;;;0;;;;0;;0;;;;0;;;;86;;;;;;;0;0;;0;;0;0;0;0;0;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;0;;;0;0;0;;0;0;0;0;0;;;;0;;;0;;;0;0;;;;0;;;0;;;0;0;;;;0;;;;0;;;;;;;;;;;0;0;;;;;0;;0;0;0;0;0;;;;;0;0;;;;;;0;0;;0;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;0;0;;;;;;;;0;;;;;
