Date;Europe;Pacifique;Méditerranée;Amérique du Nord;Amérique latine;Afrique;Asie du Sud-Est
12/31/19;0;27;0;0;0;0;0
1/1/20;0;0;0;0;0;0;0
1/2/20;0;0;0;0;0;0;0
1/3/20;0;17;0;0;0;0;0
1/4/20;0;0;0;0;0;0;0
1/5/20;0;15;0;0;0;0;0
1/6/20;0;0;0;0;0;0;0
1/7/20;0;0;0;0;0;0;0
1/8/20;0;0;0;0;0;0;0
1/9/20;0;0;0;0;0;0;0
1/10/20;0;0;0;0;0;0;0
1/11/20;0;0;0;0;0;0;0
1/12/20;0;0;0;0;0;0;0
1/13/20;0;0;0;0;0;0;1
1/14/20;0;0;0;0;0;0;0
1/15/20;0;1;0;0;0;0;0
1/16/20;0;0;0;0;0;0;0
1/17/20;0;4;0;0;0;0;1
1/18/20;0;17;0;0;0;0;0
1/19/20;0;136;0;0;0;0;0
1/20/20;0;20;0;0;0;0;0
1/21/20;0;152;0;1;0;0;0
1/22/20;0;140;0;0;0;0;2
1/23/20;0;97;0;0;0;0;0
1/24/20;0;266;0;0;0;0;0
1/25/20;3;447;0;1;0;0;2
1/26/20;0;672;0;1;0;0;0
1/27/20;0;790;1;3;0;0;3
1/28/20;1;1758;0;1;0;0;7
1/29/20;4;1475;0;1;0;0;0
1/30/20;2;1750;3;0;0;0;1
1/31/20;7;1995;0;1;0;0;0
2/1/20;6;2107;0;2;0;0;5
2/2/20;1;2604;1;1;0;0;1
2/3/20;1;2814;0;3;0;0;0
2/4/20;3;3239;0;0;0;0;1
2/5/20;0;3890;0;1;0;0;6
2/6/20;0;3740;0;1;0;0;0
2/7/20;2;3173;0;2;0;0;0
2/8/20;6;3424;2;0;0;0;7
2/9/20;1;2618;0;0;0;0;0
2/10/20;1;2981;0;0;0;0;0
2/11/20;4;2494;1;1;0;0;0
2/12/20;2;2030;0;0;0;0;1
2/13/20;1;15149;0;1;0;0;0
2/14/20;0;4167;0;1;0;0;0
2/15/20;0;2557;1;1;0;0;1
2/16/20;0;2028;0;0;0;0;0
2/17/20;1;2065;1;0;0;0;0
2/18/20;0;1895;0;0;0;0;1
2/19/20;0;1776;0;0;0;0;0
2/20/20;0;451;2;0;0;0;0
2/21/20;0;978;3;2;0;0;0
2/22/20;15;1035;16;19;0;0;0
2/23/20;62;934;12;0;0;0;0
2/24/20;58;393;19;0;0;0;0
2/25/20;98;648;25;20;0;0;2
2/26/20;107;686;67;0;1;1;3
2/27/20;102;914;72;7;0;0;0
2/28/20;345;787;133;3;0;1;0
2/29/20;317;1368;151;10;0;0;2
3/1/20;402;1184;220;9;2;2;0
3/2/20;736;917;401;25;6;0;3
3/3/20;534;734;549;17;2;1;2
3/4/20;729;668;854;25;2;2;1
3/5/20;1004;632;602;37;6;9;26
3/6/20;1573;735;619;86;10;6;2
3/7/20;2029;698;1269;111;16;3;7
3/8/20;2200;495;1127;101;2;1;5
3/9/20;2826;363;820;128;31;5;7
3/10/20;3586;253;676;215;16;5;10
3/11/20;3339;363;931;287;38;3;30
3/12/20;5662;263;1316;301;61;7;52
3/13/20;7291;261;1148;391;78;14;3
3/14/20;7516;319;1475;559;94;25;59
3/15/20;9400;308;1440;860;109;26;39
3/16/20;9330;432;1414;895;179;56;68
3/17/20;10729;386;1350;1036;253;50;124
3/18/20;12681;422;1322;1922;268;41;66
3/19/20;14346;596;1491;3134;411;92;30
3/20/20;22935;614;1412;5037;571;78;127
3/21/20;22583;679;1466;5538;844;147;297
3/22/20;22706;833;1453;7502;826;156;483
3/23/20;21067;1131;1454;8652;1109;170;317
3/24/20;28350;741;1773;11503;991;281;243
3/25/20;27104;1188;2424;9140;1039;363;297
3/26/20;31502;1049;2868;15459;1286;288;303
3/27/20;36735;1115;2896;17540;1322;523;284
3/28/20;38475;1084;3477;19484;1621;361;303
3/29/20;34091;1453;3686;20821;1605;262;341
3/30/20;30541;1293;3486;19374;1443;282;372
3/31/20;33350;1694;4038;22865;1355;356;578
4/1/20;39543;417;4144;26231;2480;323;266
4/2/20;39283;1404;3689;28325;3012;494;864
4/3/20;37237;1487;4010;30624;2453;443;564
4/4/20;41617;1551;0;33854;2661;625;909
4/5/20;36078;971;7483;35837;2647;453;787
4/6/20;31298;1069;4660;27265;2615;480;953
4/7/20;32726;1030;4058;32014;2175;473;658
4/8/20;33570;768;3672;32189;3380;352;1179
4/9/20;38154;1022;3599;35110;5552;550;870
4/10/20;39704;1224;3305;35635;4833;564;1184
4/11/20;40061;989;3581;37315;6153;455;1401
4/12/20;38885;2563;3724;29934;3585;416;1335
4/13/20;30686;1306;3689;29126;3387;561;1387
4/14/20;29084;1378;4015;26674;2252;428;1776
4/15/20;35812;1402;3736;28690;5794;572;1628
4/16/20;33892;1364;3975;31914;5745;533;1491
4/17/20;35921;2052;4415;33834;4924;460;1784
4/18/20;34165;1633;4303;33202;6050;897;1697
4/19/20;29449;1858;4517;35013;5752;796;2028
4/20/20;30128;1326;4722;26801;5201;808;2287
4/21/20;30603;2091;5196;30622;4678;478;2077
4/22/20;31525;1744;4728;39608;5317;850;2248
4/23/20;31201;1483;4070;20397;6008;831;2140
4/24/20;29409;1883;5848;29552;7195;1081;2526
4/25/20;31556;1898;5771;24369;5810;1201;2467
4/26/20;27582;1104;5622;50963;11074;742;2816
4/27/20;24432;1482;5328;29235;18576;1169;2230
4/28/20;23204;1285;5652;24998;7719;784;2335
4/29/20;23393;1043;5383;26881;10615;1242;2929
4/30/20;25675;1293;5734;29945;11061;1387;2700
5/1/20;26676;1095;6059;32991;12942;1632;3118
5/2/20;28046;1565;6245;37295;13579;1389;3347
5/3/20;25559;1041;5794;32290;11432;1315;3537
5/4/20;24132;1329;6311;29115;12691;1072;3611
5/5/20;24475;1096;6686;25325;12661;2156;5075
5/6/20;25557;1015;7387;26235;13682;1335;4267
5/7/20;32663;1300;8066;27187;14303;1777;4807
5/8/20;28940;1265;8031;31777;17705;1749;4505
5/9/20;26866;1074;8954;30375;15489;2885;4387
5/10/20;27030;1140;9058;28818;17211;1936;4617
5/11/20;22459;1247;9542;22966;12946;1888;5574
5/12/20;23448;928;8796;20555;10102;2340;4955
5/13/20;24252;1363;10529;25221;17132;2265;5090
5/14/20;22900;1100;9811;23765;20454;2379;5657
5/15/20;23395;1237;10332;30675;22929;2426;5658
5/16/20;23641;1221;11071;29146;24909;2281;5748
5/17/20;21703;789;10586;27850;24206;2327;6536
5/18/20;20332;972;11831;22086;16446;2281;7059
5/19/20;18917;662;11866;25325;21032;2193;7169
5/20/20;19673;774;12338;23723;28729;2438;7452
5/21/20;16798;957;13224;26523;31794;2245;8011
5/22/20;20803;837;13931;29629;30241;3365;8937
5/23/20;20458;918;13227;28263;32069;2487;9122
5/24/20;20070;924;13047;25706;28222;3285;9675
5/25/20;16884;928;11812;24410;27726;3070;9179
5/26/20;18239;878;10968;22561;24800;2569;9135
5/27/20;19889;1015;10776;23301;29821;2909;8244
5/28/20;18020;1031;12132;23056;35826;3476;9086
5/29/20;22663;1079;13791;26187;41475;3043;10469
5/30/20;20063;1926;14363;29470;41371;4300;11472
5/31/20;18767;1218;15291;26954;50077;4376;11048
6/1/20;17679;1543;15160;23716;34459;3338;11926
6/2/20;16638;1100;15747;24615;27351;3636;11316
6/3/20;16435;1053;16400;25140;37432;3351;12788
6/4/20;19378;1497;17457;24286;47816;3362;12978
6/5/20;19857;1265;16771;26223;44316;6049;13267
6/6/20;19366;909;18326;30133;45435;5643;13713
6/7/20;18117;1206;18355;26538;43347;4561;13642
6/8/20;17822;1042;18216;26428;34620;4111;13978
6/9/20;17465;1057;17381;22366;28440;5251;13919
6/10/20;17955;843;18225;23273;45906;4889;14558
6/11/20;17479;1301;18949;25969;50308;4699;14741
6/12/20;19816;1011;21090;28078;46809;5319;15406
6/13/20;20060;1227;20577;31274;48029;6755;16522
6/14/20;19856;1150;20583;29501;40349;6491;16095
6/15/20;18787;1128;19399;24067;35483;7259;15954
6/16/20;17452;927;19320;23744;35826;6219;15281
6/17/20;18729;666;20495;28624;51251;5221;16361
6/18/20;19454;882;20092;30875;79873;6739;18548
6/19/20;19559;1029;19316;33791;38533;7012;19454
6/20/20;17961;991;19963;35348;76345;7384;19248
6/21/20;18691;1310;20681;39265;52873;8850;20249
6/22/20;16851;1118;17242;31454;35679;7797;19655
6/23/20;19530;1034;18539;36278;34918;7226;19387
6/24/20;20545;1424;17875;41334;56715;7407;20499
6/25/20;17516;840;17187;40055;63782;8622;23235
6/26/20;20062;1104;19673;47422;59887;10484;22879
6/27/20;20906;1456;18650;51140;63677;9096;24272
6/28/20;16686;1257;17941;47134;62677;10755;24840
6/29/20;16155;1079;17646;42941;47041;9776;25508
6/30/20;19550;1456;16552;46029;43454;8884;24122